遊戲名稱,發行日期,評價,使用者評論數,價格,遊戲標籤
The First Descendant,"Jun 30, 2024",Mixed,"| 65,886 User Reviews",Free To Play,"['Free to Play', 'Looter Shooter', 'Multiplayer', 'RPG', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Action RPG', 'Shooter', 'Third Person', 'Sexual Content', 'Adventure', 'Singleplayer', 'Sci-fi', 'Story Rich', 'Character Customization', 'Co-op', 'PvE', 'Combat', 'Violent']"
Apex Legends™,"Nov 5, 2020",Mostly Positive,"| 912,988 User Reviews",Free To Play,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Cinematic']"
PUBG: BATTLEGROUNDS,"Dec 21, 2017",Mixed,"| 2,398,137 User Reviews",Free To Play,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']"
Once Human,"Jul 9, 2024",Mostly Positive,"| 48,008 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Shooter', 'Action', 'Co-op', 'Post-apocalyptic', 'Free to Play', 'Base Building', 'Adventure', 'Horror', 'Strategy', 'Simulation', '3D', 'RPG', 'Action-Adventure', 'PvP', 'MMORPG', 'Strategy RPG', '3D Platformer']"
Legend of Mortal,"Jun 14, 2024",Mostly Positive,"| 21,245 User Reviews",NT$ 369.00,"['RPG', 'Choices Matter', 'Replay Value', 'Multiple Endings', 'Lore-Rich', 'Martial Arts', 'Drama', 'Strategy', 'Singleplayer', 'Dating Sim', 'Funny', 'Narrative', 'Indie', 'Adventure', 'Action', '2D', 'Tactical RPG', 'Retro', 'Atmospheric', 'Sexual Content']"
Counter-Strike 2,"Aug 21, 2012",Very Positive,"| 8,165,550 User Reviews",Free To Play,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']"
EARTH DEFENSE FORCE 6,"Jul 25, 2024",,,"NT$ 1,755.00","['Action', 'Third-Person Shooter', 'Shooter', '3D', 'Sci-fi', 'Online Co-Op', 'PvE', 'Singleplayer', 'Multiplayer', 'Local Co-Op', 'Co-op', 'Gore', 'Local Multiplayer', 'Violent']"
NARAKA: BLADEPOINT,"Aug 12, 2021",Mostly Positive,"| 237,635 User Reviews",Free To Play,"['Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Female Protagonist', 'Massively Multiplayer', 'Character Customization', 'Fighting', 'Survival', 'Third Person', 'Swordplay', 'Hack and Slash', 'Anime', 'Parkour', 'Adventure', 'Mature', 'Free to Play', 'Violent', 'Gore']"
ELDEN RING,"Feb 24, 2022",Very Positive,"| 679,791 User Reviews","NT$ 1,790.00","['Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']"
Street Fighter™ 6,"Jun 1, 2023",Very Positive,"| 27,500 User Reviews",NT$ 840.00,"['2D Fighter', 'Fighting', 'Character Customization', 'Action', 'Arcade', 'Multiplayer', 'Adventure', 'Competitive', 'PvP', 'eSports', 'Open World', 'Singleplayer', 'Local Multiplayer', 'Controller', '3D', 'Action RPG', 'Great Soundtrack', 'Sandbox', 'Martial Arts', 'Anime']"
